1692903193,22196,info,CurlUtils::retrieve_effective_url() - Source URL: 'https://data.nsidc.uat.earthdatacloud.nasa.gov/nsidc-cumulus-uat-protected/ATLAS/ATL07/005/2020/01/01/ATL07-01_20200101015629_00820601_005_01.h5(trusted)' CURLINFO_EFFECTIVE_URL: 'https://nsidc-cumulus-uat-protected.s3.us-west-2.amazonaws.com/ATLAS/ATL07/005/2020/01/01/ATL07-01_20200101015629_00820601_005_01.h5?A-userid=jhrguat'(trusted)
1692903231,22196,info,request size: 41KB,memory used by process: 7293660KB
1692903260,22196,info,request size: 41KB,memory used by process: 7293660KB
1692903287,22196,info,request size: 41KB,memory used by process: 7293660KB
1692903355,22196,info,request size: 11KB,memory used by process: 7293660KB
1692903357,22196,info,CurlUtils::retrieve_effective_url() - Source URL: 'https://data.nsidc.uat.earthdatacloud.nasa.gov/nsidc-cumulus-uat-protected/ATLAS/ATL08/005/2020/01/01/ATL08_20200101145654_00900605_005_01.h5(trusted)' CURLINFO_EFFECTIVE_URL: 'https://nsidc-cumulus-uat-protected.s3.us-west-2.amazonaws.com/ATLAS/ATL08/005/2020/01/01/ATL08_20200101145654_00900605_005_01.h5?A-userid=jhrguat'(trusted)
1692903367,22196,info,request size: 11KB,memory used by process: 7293660KB
1692903390,22196,info,request size: 11KB,memory used by process: 7293660KB
1692903415,22196,info,request size: 20KB,memory used by process: 7293660KB
1692903417,22196,info,CurlUtils::retrieve_effective_url() - Source URL: 'https://data.nsidc.uat.earthdatacloud.nasa.gov/nsidc-cumulus-uat-protected/ATLAS/ATL10/005/2020/01/01/ATL10-01_20200101002212_00810601_005_02.h5(trusted)' CURLINFO_EFFECTIVE_URL: 'https://nsidc-cumulus-uat-protected.s3.us-west-2.amazonaws.com/ATLAS/ATL10/005/2020/01/01/ATL10-01_20200101002212_00810601_005_02.h5?A-userid=jhrguat'(trusted)
1692903442,22196,info,request size: 20KB,memory used by process: 7293660KB
1692903452,22196,info,request size: 20KB,memory used by process: 7293660KB
1692903462,22196,info,request size: 20KB,memory used by process: 7293660KB
1692903494,22196,info,request size: 20KB,memory used by process: 7293660KB
1692903514,22196,info,request size: 20KB,memory used by process: 7293660KB
1692903566,22196,info,request size: 203KB,memory used by process: 7293660KB
1692903568,22196,info,CurlUtils::retrieve_effective_url() - Source URL: 'https://data.nsidc.uat.earthdatacloud.nasa.gov/nsidc-cumulus-uat-protected/ATLAS/ATL12/005/2020/01/ATL12_20200101002212_00810601_005_02.h5(trusted)' CURLINFO_EFFECTIVE_URL: 'https://nsidc-cumulus-uat-protected.s3.us-west-2.amazonaws.com/ATLAS/ATL12/005/2020/01/ATL12_20200101002212_00810601_005_02.h5?A-userid=jhrguat'(trusted)
1692903586,22196,info,request size: 203KB,memory used by process: 7293660KB
1692903624,22196,info,request size: 203KB,memory used by process: 7293660KB
1692903647,22196,info,request size: 203KB,memory used by process: 7293660KB
1692903683,22196,info,request size: 43KB,memory used by process: 7293660KB
1692903685,22196,info,CurlUtils::retrieve_effective_url() - Source URL: 'https://data.nsidc.uat.earthdatacloud.nasa.gov/nsidc-cumulus-uat-protected/ATLAS/ATL13/005/2020/01/ATL13_20200101002212_00810601_005_01.h5(trusted)' CURLINFO_EFFECTIVE_URL: 'https://nsidc-cumulus-uat-protected.s3.us-west-2.amazonaws.com/ATLAS/ATL13/005/2020/01/ATL13_20200101002212_00810601_005_01.h5?A-userid=jhrguat'(trusted)
1692903707,22196,info,request size: 43KB,memory used by process: 7293660KB
1692903732,22196,info,request size: 43KB,memory used by process: 7293660KB
1692903771,22196,info,request size: 43KB,memory used by process: 7293660KB
1692903786,22196,info,request size: 43KB,memory used by process: 7293660KB
1692903802,22196,info,request size: 43KB,memory used by process: 7293660KB
1692903823,22196,info,request size: 136KB,memory used by process: 7293660KB
1692903840,22196,info,request size: 136KB,memory used by process: 7293660KB
1692903862,22196,info,request size: 136KB,memory used by process: 7293660KB
1692903889,22196,info,request size: 136KB,memory used by process: 7293660KB
1692903905,22196,info,request size: 136KB,memory used by process: 7293660KB
1692903921,22196,info,request size: 136KB,memory used by process: 7293660KB
1692903931,22196,info,request size: 136KB,memory used by process: 7293660KB
1692903952,22196,info,request size: 4955KB,memory used by process: 7293660KB
1692903955,22196,info,CurlUtils::retrieve_effective_url() - Source URL: 'https://data.nsidc.uat.earthdatacloud.nasa.gov/nsidc-cumulus-uat-protected/ATLAS/ATL03/005/2020/01/01/ATL03_20200101145654_00900605_005_01.h5(trusted)' CURLINFO_EFFECTIVE_URL: 'https://nsidc-cumulus-uat-protected.s3.us-west-2.amazonaws.com/ATLAS/ATL03/005/2020/01/01/ATL03_20200101145654_00900605_005_01.h5?A-userid=jhrguat'(trusted)
1692903998,22196,info,request size: 4955KB,memory used by process: 7293660KB
1692904025,22196,info,request size: 4955KB,memory used by process: 7293660KB
1692904068,22196,info,request size: 4955KB,memory used by process: 7293660KB
1692904159,22196,info,request size: 4955KB,memory used by process: 7293660KB
1692904241,22196,info,request size: 324KB,memory used by process: 7293660KB
1692904272,22196,info,request size: 324KB,memory used by process: 7293660KB
1692904288,22196,info,request size: 324KB,memory used by process: 7293660KB
1692904303,22196,info,request size: 324KB,memory used by process: 7293660KB
1692904330,22196,info,request size: 324KB,memory used by process: 7293660KB
1692904345,22196,info,request size: 324KB,memory used by process: 7293660KB
1692904360,22196,info,request size: 324KB,memory used by process: 7293660KB
