1692995942,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/nc/include/' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692995943,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/hdf5/include/' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692995944,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/dapreader/dap4/include/' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692995946,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/gdal/includes/' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692995947,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/csv/includes/' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692995948,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ncml/agg/grids/includes/' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692995948,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ncml/dmrpp/includes/' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692995949,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/js/' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692995951,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ncml/js/' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692995953,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ncml/agg/js/' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692995991,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/lib/' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692995992,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ugrids/lib/' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692995993,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ff/lib/' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692995995,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ncml/agg/grids/lib/' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692995999,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/test.jsp' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692996001,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ff/test.jsp' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692996002,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ncml/dmrpp/test.jsp' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692996003,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/dapreader/dap4/dmr-testsuite/test.jsp' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692996010,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/hdf5/bin/' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692996011,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ncml/agg/grids/bin/' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692996117,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/500page.jsp' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692996138,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/dapreader/dap4/dmr-testsuite/catalog.xml' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692996223,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/csv/catalog.xml' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692996228,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/hdf4/catalog.xml' (BESUtil.cc:298), current memory usage is 7643008 KB.
1692996256,184,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/dapreader/catalog.xml' (BESUtil.cc:298), current memory usage is 7643008 KB.
