1692992645,499,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ncml/agg/grids/catalog.xml' (BESUtil.cc:298), current memory usage is 7138696 KB.
1692992977,499,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/csv/APIs/' (BESUtil.cc:298), current memory usage is 7138696 KB.
1692992977,499,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/dapreader/dap4/APIs/' (BESUtil.cc:298), current memory usage is 7138696 KB.
1692992978,499,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/service/' (BESUtil.cc:298), current memory usage is 7138696 KB.
1692992979,499,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ncml/dmrpp/service/' (BESUtil.cc:298), current memory usage is 7138696 KB.
1692992980,499,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/Service/' (BESUtil.cc:298), current memory usage is 7138696 KB.
1692992981,499,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/dapreader/Service/' (BESUtil.cc:298), current memory usage is 7138696 KB.
1692992982,499,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ncml/agg/grids/Service/' (BESUtil.cc:298), current memory usage is 7138696 KB.
1692992984,499,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ugrids/SERVICE/' (BESUtil.cc:298), current memory usage is 7138696 KB.
1692992986,499,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ncml/agg/grids/SERVICE/' (BESUtil.cc:298), current memory usage is 7138696 KB.
1692992988,499,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/dmrpp/WebService/' (BESUtil.cc:298), current memory usage is 7138696 KB.
1692992989,499,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ncml/WebService/' (BESUtil.cc:298), current memory usage is 7138696 KB.
1692992992,499,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/dapreader/dap4/dmr-testsuite/WebService/' (BESUtil.cc:298), current memory usage is 7138696 KB.
1692993033,499,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/csv/ws/' (BESUtil.cc:298), current memory usage is 7138696 KB.
1692993035,499,error,ERROR: BES Not Found Error: Failed to locate '/usr/share/hyrax/data/ncml/agg/grids/ws/' (BESUtil.cc:298), current memory usage is 7138696 KB.
